,Peak_Date,Title,Half_Life
0,2018-02-01 00:00:00,gohan blanco meme,28 days 00:00:00.000000000
0,2018-09-01 00:00:00,goth gf meme,212 days 00:00:00.000000000
0,2018-07-01 00:00:00,shadman meme,274 days 00:00:00.000000000
0,2018-01-01 00:00:00,knuckles sings meme,31 days 00:00:00.000000000
0,2017-10-01 00:00:00,grape kun meme,92 days 00:00:00.000000000
0,2017-10-01 00:00:00,first of all meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,metoo meme,31 days 00:00:00.000000000
0,2017-11-01 00:00:00,big enough meme,242 days 00:00:00.000000000
0,2017-10-01 00:00:00,rick and morty fans meme,92 days 00:00:00.000000000
0,2017-09-01 00:00:00,you know i had to do it to em meme,30 days 00:00:00.000000000
0,2017-10-01 00:00:00,hotel mario meme,31 days 00:00:00.000000000
0,2017-10-01 00:00:00,improvise adapt overcome meme,92 days 00:00:00.000000000
0,2017-09-01 00:00:00,inhaling seagull meme,61 days 00:00:00.000000000
0,2016-09-01 00:00:00,you vs the guy she told you not to worry about meme,30 days 00:00:00.000000000
0,2018-07-01 00:00:00,despacito meme,62 days 00:00:00.000000000
0,2018-05-01 00:00:00,lul meme,184 days 00:00:00.000000000
0,2015-09-01 00:00:00,splat tim meme,61 days 00:00:00.000000000
0,2012-02-01 00:00:00,wtf is this shit meme,121 days 00:00:00.000000000
0,2017-10-01 00:00:00,clout meme,457 days 00:00:00.000000000
0,2017-01-01 00:00:00,old gregg meme,212 days 00:00:00.000000000
0,2017-02-01 00:00:00,breath in boi meme,28 days 00:00:00.000000000
0,2017-11-01 00:00:00,country girls make do meme,61 days 00:00:00.000000000
0,2013-01-01 00:00:00,lie down try not to cry cry a lot meme,304 days 00:00:00.000000000
0,2016-10-01 00:00:00,kilroy was here meme,31 days 00:00:00.000000000
0,2017-08-01 00:00:00,hewwo meme,92 days 00:00:00.000000000
0,2017-08-01 00:00:00,oh worm meme,31 days 00:00:00.000000000
0,2017-09-01 00:00:00,pickle rick meme,61 days 00:00:00.000000000
0,2017-09-01 00:00:00,protegent antivirus meme,30 days 00:00:00.000000000
0,2017-08-01 00:00:00,waterguy12 meme,31 days 00:00:00.000000000
0,2018-02-01 00:00:00,bobs and vegana meme,59 days 00:00:00.000000000
0,2017-08-01 00:00:00,crash bandicoot woah meme,31 days 00:00:00.000000000
0,2017-07-01 00:00:00,england is my city meme,92 days 00:00:00.000000000
0,2017-08-01 00:00:00,i studied the blade meme,61 days 00:00:00.000000000
0,2017-12-01 00:00:00,angry dog noises meme,90 days 00:00:00.000000000
0,2016-11-01 00:00:00,trebuchets meme,120 days 00:00:00.000000000
0,2017-07-01 00:00:00,powder that makes you say yes meme,62 days 00:00:00.000000000
0,2017-05-01 00:00:00,why are we still here just to suffer meme,31 days 00:00:00.000000000
0,2016-08-01 00:00:00,gaston meme,61 days 00:00:00.000000000
0,2017-07-01 00:00:00,oh fuck put it back in meme,31 days 00:00:00.000000000
0,2017-07-01 00:00:00,i will now buy your game meme,31 days 00:00:00.000000000
0,2017-05-01 00:00:00,kekistan meme,153 days 00:00:00.000000000
0,2017-07-01 00:00:00,how to talk to short people meme,31 days 00:00:00.000000000
0,2017-06-01 00:00:00,gremblo meme,61 days 00:00:00.000000000
0,2018-11-01 00:00:00,69 meme,120 days 00:00:00.000000000
0,2018-05-01 00:00:00,the 7th element meme,184 days 00:00:00.000000000
0,2018-01-01 00:00:00,milkshake duck meme,59 days 00:00:00.000000000
0,2017-07-01 00:00:00,boneless pizza meme,31 days 00:00:00.000000000
0,2017-06-01 00:00:00,the floor is meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,hey man you see that guy over there meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,one thicc bih meme,30 days 00:00:00.000000000
0,2017-07-01 00:00:00,fireflies meme,31 days 00:00:00.000000000
0,2016-12-01 00:00:00,get in the bag nebby meme,62 days 00:00:00.000000000
0,2016-10-01 00:00:00,pen pineapple apple pen meme,31 days 00:00:00.000000000
0,2017-06-01 00:00:00,you on kazoo meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,covfefe meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,nice girl bike meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,ideal gf meme,273 days 00:00:00.000000000
0,2017-06-01 00:00:00,redbone meme,30 days 00:00:00.000000000
0,2017-06-01 00:00:00,cracking open a cold one with the boys meme,30 days 00:00:00.000000000
0,2017-05-01 00:00:00,saturdays are for the boys meme,61 days 00:00:00.000000000
0,2017-04-01 00:00:00,y tho meme,306 days 00:00:00.000000000
0,2017-05-01 00:00:00,understandable have a nice day meme,92 days 00:00:00.000000000
0,2016-09-01 00:00:00,this is the ideal male body meme,487 days 00:00:00.000000000
0,2015-09-01 00:00:00,cummies meme,61 days 00:00:00.000000000
0,2016-06-01 00:00:00,nut button meme,304 days 00:00:00.000000000
0,2016-12-01 00:00:00,thelegend27 meme,31 days 00:00:00.000000000
0,2017-06-01 00:00:00,what you see vs what she sees meme,395 days 00:00:00.000000000
0,2017-06-01 00:00:00,respect women meme,61 days 00:00:00.000000000
0,2018-01-01 00:00:00,i have the high ground meme,455 days 00:00:00.000000000
0,2017-03-01 00:00:00,shooting stars meme,31 days 00:00:00.000000000
0,2016-11-01 00:00:00,eyebrows on fleek meme,61 days 00:00:00.000000000
0,2019-03-01 00:00:00,blue whale challenge meme,31 days 00:00:00.000000000
0,2011-01-01 00:00:00,everybody walk the dinosaur meme,59 days 00:00:00.000000000
0,2014-01-01 00:00:00,mah nigga meme,761 days 00:00:00.000000000
0,2013-05-01 00:00:00,epic boobs girl meme,31 days 00:00:00.000000000
0,2016-12-01 00:00:00,biggie cheese meme,31 days 00:00:00.000000000
0,2017-03-01 00:00:00,how italians do things meme,31 days 00:00:00.000000000
0,2016-06-01 00:00:00,the fitnessgram pacer test meme,61 days 00:00:00.000000000
0,2017-05-01 00:00:00,oh no its retarded meme,304 days 00:00:00.000000000
0,2017-03-01 00:00:00,succ meme,457 days 00:00:00.000000000
0,2015-11-01 00:00:00,allahu akbar meme,61 days 00:00:00.000000000
0,2017-03-01 00:00:00,expanding brain meme,92 days 00:00:00.000000000
0,2016-04-01 00:00:00,vape nation meme,61 days 00:00:00.000000000
0,2016-12-01 00:00:00,conceited reaction meme,62 days 00:00:00.000000000
0,2016-11-01 00:00:00,evil kermit meme,30 days 00:00:00.000000000
0,2016-02-01 00:00:00,persian cat room guardian meme,60 days 00:00:00.000000000
0,2014-12-01 00:00:00,my name is jeff meme,31 days 00:00:00.000000000
0,2015-08-01 00:00:00,rare pepe meme,122 days 00:00:00.000000000
0,2016-08-01 00:00:00,im rick harrison and this is my pawn shop meme,31 days 00:00:00.000000000
0,2016-02-01 00:00:00,suh dude meme,29 days 00:00:00.000000000
0,2016-03-01 00:00:00,ted cruz zodiac killer meme,92 days 00:00:00.000000000
